# x,Y(xd),D(xd -> xd),C(xdxdx_ddx),C(xdxdx_uux),C(xdxdx_ssx),C(xdxdx_ccx),C(xdxdx_bbx),C(xdxdx_ttx)
2.8547e-01,7.8030e-03,0.0000e+00,4.9899e-31,4.9899e-31,4.9899e-31,4.9899e-31,4.9899e-31,4.9899e-31
2.8944e-01,7.8030e-03,0.0000e+00,3.1614e-31,3.1614e-31,3.1614e-31,3.1614e-31,3.1614e-31,3.1614e-31
2.9347e-01,7.8030e-03,0.0000e+00,3.2046e-31,3.2046e-31,3.2046e-31,3.2046e-31,3.2046e-31,3.2046e-31
2.9756e-01,7.8030e-03,0.0000e+00,2.5988e-31,2.5988e-31,2.5988e-31,2.5988e-31,2.5988e-31,2.5988e-31
3.0170e-01,7.8030e-03,0.0000e+00,3.2930e-31,3.2930e-31,3.2930e-31,3.2930e-31,3.2930e-31,3.2930e-31
3.0590e-01,7.8030e-03,0.0000e+00,3.3381e-31,3.3381e-31,3.3381e-31,3.3381e-31,3.3381e-31,3.3381e-31
3.1016e-01,7.8030e-03,0.0000e+00,3.3838e-31,3.3838e-31,3.3838e-31,3.3838e-31,3.3838e-31,3.3838e-31
3.1448e-01,7.8030e-03,0.0000e+00,2.0581e-31,2.0581e-31,2.0581e-31,2.0581e-31,2.0581e-31,2.0581e-31
3.1886e-01,7.8030e-03,0.0000e+00,2.0863e-31,2.0863e-31,2.0863e-31,2.0863e-31,2.0863e-31,2.0863e-31
3.2330e-01,7.8030e-03,0.0000e+00,1.4099e-31,1.4099e-31,1.4099e-31,1.4099e-31,1.4099e-31,1.4099e-31
3.2781e-01,7.8030e-03,0.0000e+00,2.1439e-31,2.1439e-31,2.1439e-31,2.1439e-31,2.1439e-31,2.1439e-31
3.3237e-01,7.8030e-03,0.0000e+00,2.8977e-31,2.8977e-31,2.8977e-31,2.8977e-31,2.8977e-31,2.8977e-31
3.3700e-01,7.8030e-03,0.0000e+00,2.9374e-31,2.9374e-31,2.9374e-31,2.9374e-31,2.9374e-31,2.9374e-31
3.4169e-01,7.8030e-03,0.0000e+00,6.6999e-31,6.6999e-31,6.6999e-31,6.6999e-31,6.6999e-31,6.6999e-31
3.4645e-01,7.8030e-03,0.0000e+00,6.0372e-31,6.0372e-31,6.0372e-31,6.0372e-31,6.0372e-31,6.0372e-31
3.5127e-01,7.8030e-03,0.0000e+00,3.8250e-31,3.8250e-31,3.8250e-31,3.8250e-31,3.8250e-31,3.8250e-31
3.5617e-01,7.8030e-03,0.0000e+00,5.4285e-31,5.4285e-31,5.4285e-31,5.4285e-31,5.4285e-31,5.4285e-31
3.6113e-01,7.8030e-03,0.0000e+00,1.5723e-31,1.5723e-31,1.5723e-31,1.5723e-31,1.5723e-31,1.5723e-31
3.6615e-01,7.8030e-03,0.0000e+00,3.9847e-31,3.9847e-31,3.9847e-31,3.9847e-31,3.9847e-31,3.9847e-31
3.7125e-01,7.8030e-03,0.0000e+00,4.8474e-31,4.8474e-31,4.8474e-31,4.8474e-31,4.8474e-31,4.8474e-31
3.7642e-01,7.8030e-03,0.0000e+00,8.1899e-32,8.1899e-32,8.1899e-32,8.1899e-32,8.1899e-32,8.1899e-32
3.8166e-01,7.8030e-03,0.0000e+00,1.6605e-31,1.6605e-31,1.6605e-31,1.6605e-31,1.6605e-31,1.6605e-31
3.8698e-01,7.8030e-03,0.0000e+00,1.6833e-31,1.6833e-31,1.6833e-31,1.6833e-31,1.6833e-31,1.6833e-31
3.9237e-01,7.8030e-03,0.0000e+00,5.1193e-31,5.1193e-31,5.1193e-31,5.1193e-31,5.1193e-31,5.1193e-31
3.9783e-01,7.8030e-03,0.0000e+00,5.1897e-31,5.1897e-31,5.1897e-31,5.1897e-31,5.1897e-31,5.1897e-31
4.0337e-01,7.8030e-03,0.0000e+00,1.7537e-31,1.7537e-31,1.7537e-31,1.7537e-31,1.7537e-31,1.7537e-31
4.0899e-01,7.8030e-03,0.0000e+00,2.6667e-31,2.6667e-31,2.6667e-31,2.6667e-31,2.6667e-31,2.6667e-31
4.1468e-01,7.8030e-03,0.0000e+00,2.7034e-31,2.7034e-31,2.7034e-31,2.7034e-31,2.7034e-31,2.7034e-31
4.2046e-01,7.8030e-03,0.0000e+00,4.5676e-31,4.5676e-31,4.5676e-31,4.5676e-31,4.5676e-31,4.5676e-31
4.2631e-01,7.8030e-03,0.0000e+00,9.2610e-32,9.2610e-32,9.2610e-32,9.2610e-32,9.2610e-32,9.2610e-32
4.3225e-01,7.8030e-03,0.0000e+00,1.8777e-31,1.8777e-31,1.8777e-31,1.8777e-31,1.8777e-31,1.8777e-31
4.3827e-01,7.8030e-03,0.0000e+00,9.5176e-32,9.5176e-32,9.5176e-32,9.5176e-32,9.5176e-32,9.5176e-32
4.4437e-01,7.8030e-03,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
4.5056e-01,7.8030e-03,0.0000e+00,1.9563e-31,1.9563e-31,1.9563e-31,1.9563e-31,1.9563e-31,1.9563e-31
4.5684e-01,7.8030e-03,0.0000e+00,5.9497e-31,5.9497e-31,5.9497e-31,5.9497e-31,5.9497e-31,5.9497e-31
4.6320e-01,7.8030e-03,0.0000e+00,3.0158e-31,3.0158e-31,3.0158e-31,3.0158e-31,3.0158e-31,3.0158e-31
4.6965e-01,7.8030e-03,0.0000e+00,1.0191e-31,1.0191e-31,1.0191e-31,1.0191e-31,1.0191e-31,1.0191e-31
4.7619e-01,7.8030e-03,0.0000e+00,-2.0663e-31,-2.0663e-31,-2.0663e-31,-2.0663e-31,-2.0663e-31,-2.0663e-31
4.8282e-01,7.8030e-03,0.0000e+00,1.0474e-31,1.0474e-31,1.0474e-31,1.0474e-31,1.0474e-31,1.0474e-31
4.8954e-01,7.8030e-03,0.0000e+00,-2.1237e-31,-2.1237e-31,-2.1237e-31,-2.1237e-31,-2.1237e-31,-2.1237e-31
4.9636e-01,7.8030e-03,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
5.0327e-01,7.8030e-03,0.0000e+00,4.3652e-31,4.3652e-31,4.3652e-31,4.3652e-31,4.3652e-31,4.3652e-31
5.1028e-01,7.8030e-03,0.0000e+00,3.3190e-31,3.3190e-31,3.3190e-31,3.3190e-31,3.3190e-31,3.3190e-31
5.1739e-01,7.8030e-03,0.0000e+00,3.3648e-31,3.3648e-31,3.3648e-31,3.3648e-31,3.3648e-31,3.3648e-31
5.2459e-01,7.8030e-03,0.0000e+00,1.1371e-31,1.1371e-31,1.1371e-31,1.1371e-31,1.1371e-31,1.1371e-31
5.3190e-01,7.8030e-03,0.0000e+00,1.1527e-31,1.1527e-31,1.1527e-31,1.1527e-31,1.1527e-31,1.1527e-31
5.3930e-01,7.8030e-03,0.0000e+00,-2.3373e-31,-2.3373e-31,-2.3373e-31,-2.3373e-31,-2.3373e-31,-2.3373e-31
5.4681e-01,7.8030e-03,0.0000e+00,8.2934e-31,8.2934e-31,8.2934e-31,8.2934e-31,8.2934e-31,8.2934e-31
5.5443e-01,7.8030e-03,0.0000e+00,6.0056e-31,6.0056e-31,6.0056e-31,6.0056e-31,6.0056e-31,6.0056e-31
5.6215e-01,7.8030e-03,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
5.6998e-01,7.8030e-03,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
5.7791e-01,7.8030e-03,0.0000e+00,1.2515e-31,1.2515e-31,1.2515e-31,1.2515e-31,1.2515e-31,1.2515e-31
5.8596e-01,7.8030e-03,0.0000e+00,6.3440e-31,6.3440e-31,6.3440e-31,6.3440e-31,6.3440e-31,6.3440e-31
5.9412e-01,7.8030e-03,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
6.0239e-01,7.8030e-03,0.0000e+00,1.3041e-31,1.3041e-31,1.3041e-31,1.3041e-31,1.3041e-31,1.3041e-31
6.1078e-01,7.8030e-03,0.0000e+00,2.6442e-31,2.6442e-31,2.6442e-31,2.6442e-31,2.6442e-31,2.6442e-31
6.1929e-01,7.8030e-03,0.0000e+00,8.0421e-31,8.0421e-31,8.0421e-31,8.0421e-31,8.0421e-31,8.0421e-31
6.2791e-01,7.8030e-03,0.0000e+00,1.3589e-31,1.3589e-31,1.3589e-31,1.3589e-31,1.3589e-31,1.3589e-31
6.3666e-01,7.8030e-03,0.0000e+00,1.3776e-31,1.3776e-31,1.3776e-31,1.3776e-31,1.3776e-31,1.3776e-31
6.4552e-01,7.8030e-03,0.0000e+00,2.7933e-31,2.7933e-31,2.7933e-31,2.7933e-31,2.7933e-31,2.7933e-31
6.5451e-01,7.8030e-03,0.0000e+00,4.2479e-31,4.2479e-31,4.2479e-31,4.2479e-31,4.2479e-31,4.2479e-31
6.6362e-01,7.8030e-03,0.0000e+00,-2.8711e-31,-2.8711e-31,-2.8711e-31,-2.8711e-31,-2.8711e-31,-2.8711e-31
6.7287e-01,7.8236e-03,0.0000e+00,7.3574e-21,7.3574e-21,7.3574e-21,7.3574e-21,7.3574e-21,7.3574e-21
6.8224e-01,7.8032e-03,0.0000e+00,-9.0212e-23,-9.0212e-23,-9.0212e-23,-9.0212e-23,-9.0212e-23,-9.0212e-23
6.9174e-01,7.7822e-03,0.0000e+00,-2.4945e-22,-2.4945e-22,-2.4945e-22,-2.4945e-22,-2.4945e-22,-2.4945e-22
7.0137e-01,7.7609e-03,0.0000e+00,-2.8985e-22,-2.8985e-22,-2.8985e-22,-2.8985e-22,-2.8985e-22,-2.8985e-22
7.1114e-01,7.7390e-03,0.0000e+00,-2.8259e-22,-2.8259e-22,-2.8259e-22,-2.8259e-22,-2.8259e-22,-2.8259e-22
7.2104e-01,7.7167e-03,0.0000e+00,4.4305e-23,4.4305e-23,4.4305e-23,4.4305e-23,4.4305e-23,4.4305e-23
7.3108e-01,7.6938e-03,0.0000e+00,6.1022e-23,6.1022e-23,6.1022e-23,6.1022e-23,6.1022e-23,6.1022e-23
7.4126e-01,7.6705e-03,0.0000e+00,1.2249e-22,1.2249e-22,1.2249e-22,1.2249e-22,1.2249e-22,1.2249e-22
7.5158e-01,7.6467e-03,0.0000e+00,2.6744e-22,2.6744e-22,2.6744e-22,2.6744e-22,2.6744e-22,2.6744e-22
7.6205e-01,7.6224e-03,0.0000e+00,4.2369e-22,4.2369e-22,4.2369e-22,4.2369e-22,4.2369e-22,4.2369e-22
7.7266e-01,7.5976e-03,0.0000e+00,5.5554e-22,5.5554e-22,5.5554e-22,5.5554e-22,5.5554e-22,5.5554e-22
7.8342e-01,7.5723e-03,0.0000e+00,6.0836e-22,6.0836e-22,6.0836e-22,6.0836e-22,6.0836e-22,6.0836e-22
7.9433e-01,7.5464e-03,0.0000e+00,5.0533e-22,5.0533e-22,5.0533e-22,5.0533e-22,5.0533e-22,5.0533e-22
8.0539e-01,7.5200e-03,0.0000e+00,1.4378e-22,1.4378e-22,1.4378e-22,1.4378e-22,1.4378e-22,1.4378e-22
8.1661e-01,7.4931e-03,0.0000e+00,1.2803e-22,1.2803e-22,1.2803e-22,1.2803e-22,1.2803e-22,1.2803e-22
8.2798e-01,7.4656e-03,0.0000e+00,5.6935e-22,5.6935e-22,5.6935e-22,5.6935e-22,5.6935e-22,5.6935e-22
